q1,q2,q3,q4,q5,q6,
0.1141447149014996,-0.1458521875822179,-0.3120289795198718,0.25375436770413057,0.47091389999076577,-1.7979246478377762,
0.10897011060161457,-0.14534699060799616,-0.312584972403935,0.24259280373725436,0.46982301343139204,-1.787969536923349,
0.10379234046290511,-0.14488412980482307,-0.3130942198392865,0.2313794049785071,0.4687777434348873,-1.7779635274983587,
0.09861167944405186,-0.14446366029104535,-0.31355670121039,0.22011633645942433,0.46777857397185485,-1.767908697403641,
0.09342840343150013,-0.14408563225037577,-0.31397239773323943,0.20880583408797138,0.46682596601483894,-1.757807195725368,
0.08824278915226146,-0.14375009089335905,-0.31434129247387754,0.19745020227299645,0.4659203567217877,-1.7476612403966796,
0.0830551140860417,-0.14345707642260475,-0.31466337036507974,0.1860518113160537,0.46506215865035777,-1.7374731155662615,
0.07786565637676512,-0.14320662400184112,-0.31493861822118674,0.1746130945749706,0.4642517590060962,-1.727245168738273,
0.0726746947435644,-0.1429987637288104,-0.31516702475108477,0.1631365454049225,0.46348951892746365,-1.7169798076894303,
0.06748250839130726,-0.142833520612054,-0.31534858056930715,0.15162471388416207,0.4627757728105781,-1.7066794971704287,
0.0622893769207315,-0.14271091455160217,-0.31548327820527,0.14008020333292906,0.4621108276764561,-1.6963467554002694,
0.05709558023826028,-0.14263096032360412,-0.3155711121106121,0.12850566663542096,0.46149496258339434,-1.6859841503634119,
0.05190139846557032,-0.14259366756890574,-0.3156120786646474,0.11690380237601769,0.4609284280869907,-1.6755942959209835,
0.04670711184898627,-0.14259904078559582,-0.3156061761779274,0.10527735080221579,0.4604114457501493,-1.6651798477485442,
0.04151300066877391,-0.14264707932552745,-0.31555340489389666,0.09362908962792935,0.45994420770521266,-1.6547434991141026,
0.03631934514840618,-0.1427377773948199,-0.3154537669886567,0.0819618296919315,0.4595268762701844,-1.644287976511201,
0.031126425363874975,-0.14287112405833702,-0.3153072665688271,0.07027841048724168,0.4591595836207786,-1.633816035162914,
0.025934521153122225,-0.14304710324814626,-0.3151139096675063,0.05858169557819124,0.45884243151980825,-1.6233304544135345,
0.020743912025663686,-0.14326569377592874,-0.3148737042383485,0.046874567922715576,0.4585754911051846,-1.6128340330255377,
0.015554877072477869,-0.1435268693493519,-0.31458666014773845,0.03515992511811246,0.4583588027375447,-1.6023295844001029,
0.010367694876232791,-0.14383059859236136,-0.31425278916508886,0.02344067458907,0.45819237590826745,-1.591819931740038,
0.00518264342192283,-0.14417684506937828,-0.31387210495126644,0.01171972873719394,0.4580761892083717,-1.5813079031743766,
7.986418981863985e-12,-0.14456556731337672,-0.31344462304513887,7.154623022222557e-11,0.4580101903585148,-1.5707963268641971,
-0.005179958842024237,-0.14499671885779322,-0.3129703608482812,-0.011715603660152518,0.4579942963000425,-1.560288026109362,
-0.010356957467151926,-0.1454702482722483,-0.31244933760782384,-0.023424184320013624,0.45802839334676254,-1.5497858144758512,
-0.01553072115605263,-0.14598609920202638,-0.3118815743974745,-0.03512285818867526,0.458112337396847,-1.5392924909632224,
