q1,q2,q3,q4,q5,q6,
-1.740100104950051,0.14170070573564525,-0.027111627803528833,0.9812629426983505,-0.20412892565578653,-2.542325273953161,
-1.740100104950051,0.14170070573564525,-0.027111627803528833,0.9812629426983505,-0.20412892565578653,-2.542325273953161,
-1.7401001049372904,0.1426722723629281,-0.03343651068793185,1.0030744951133912,-0.20120114931383945,-2.5645924955399373,
-1.7401001049349938,0.1435977379799899,-0.03971569132602215,1.0255251848334357,-0.19837305596223095,-2.5874987559763603,
-1.7401001049505533,0.14447708537045367,-0.04594938590688196,1.0486202235195812,-0.19564888503293834,-2.611049293284033,
-1.7401001049505296,0.14531029068095752,-0.052137800266508,1.0723623791860084,-0.1930329792607463,-2.635246901500237,
-1.7401001049505034,0.14609732360155958,-0.05828113027749534,1.096751664138314,-0.19052976735142504,-2.6600916186307164,
-1.7401001049504752,0.14683814754419294,-0.06437956199216999,1.1217850140114296,-0.1881437434169327,-2.6855804056931434,
-1.7401001049504459,0.14753271981634009,-0.0704332718988653,1.147455973678538,-0.18587944307097226,-2.711706832635258,
-1.7401001049504161,0.14818099179109223,-0.07644242714654999,1.1737543950847034,-0.18374141612745376,-2.7384607761764905,
-1.7401001049503875,0.14878290907377628,-0.08240718576173989,1.2006661573383908,-0.18173419594362378,-2.765828139907043,
-1.7401001049503613,0.14933841166540993,-0.0883276968580774,1.2281729198956004,-0.17986226555713195,-2.7937906074791576,
-1.7401001049503393,0.1498474341232393,-0.09420410083895822,1.256251920425221,-0.17813002089048668,-2.822325440479214,
-1.7401001049503235,0.15030990571861166,-0.10003652959356871,1.2848758292670397,-0.17654173143254673,-2.851405332892073,
-1.7401001049503162,0.1507257505924068,-0.10582510668666277,1.3140126721662517,-0.1751014989496155,-2.8809983338415517,
-1.7401001049503186,0.1510948879082586,-0.11156994754241617,1.343625832087262,-0.17381321492133284,-2.91106784940981,
-1.7401001049503326,0.1514172320037759,-0.11727115962265834,1.3736741393039038,-0.17268051753034702,-2.9415727327328023,
-1.7401001049503593,0.1516926925399733,-0.12292884259978352,1.4041120566091114,-0.1717067491500776,-2.972467469214826,
-1.7401001049503986,0.15192117464910473,-0.128543088524623,1.4348899634213654,-0.17089491536175688,-3.003702460639504,
-1.7401001049504499,0.15210257908109062,-0.1341139819895454,1.465954538894085,-0.17024764658086378,-3.0352244082833795,
-1.7401001049505118,0.15223680234871917,-0.1396416002870477,1.497249240035201,-0.1697671633760843,-3.0669767910393704,
-1.7401001049505822,0.152323736871796,-0.14512601356407953,1.5287148665585328,-0.16945524651562585,-3.0989004302717036,
-1.740100104950658,0.1523632711204086,-0.15056728497234217,1.5602902000048418,-0.16931321267412672,-3.130934128940221,
